Metric,Value,N_Assets,Model
R_hat,2.1165826,10,rnn
Training_RMSE,1.5294538,10,rnn
Validation_RMSE,1.5184431,10,rnn
Test_RMSE,0.22489642,10,rnn
DCC_alpha,0.4567223,10,rnn
DCC_beta,0.27025214,10,rnn
Converged,false,10,rnn
R_hat,2.1227925,10,lstm
Training_RMSE,0.6774691,10,lstm
Validation_RMSE,0.6757325,10,lstm
Test_RMSE,0.41601235,10,lstm
DCC_alpha,0.42065454,10,lstm
DCC_beta,0.29713744,10,lstm
Converged,false,10,lstm
R_hat,2.122786,10,windowed
Training_RMSE,0.3006489,10,windowed
Validation_RMSE,0.30029505,10,windowed
Test_RMSE,0.30027705,10,windowed
DCC_alpha,0.40431347,10,windowed
DCC_beta,0.21907838,10,windowed
Converged,false,10,windowed
