Model,Avg_Portfolio_Return,Portfolio_Volatility,Avg_VaR_1,Avg_VaR_5,Avg_VaR_10,N_Assets
Sequential RNN,-0.069968581199646,1.735788345336914,4.097028732299805,2.9149575233459473,2.2848660945892334,2
Sequential LSTM,0.017499426379799843,1.7714729309082031,4.365869998931885,3.159496784210205,2.5164525508880615,2
