Asset_1_Weight,Asset_2_Weight,Day,N_Assets,Model
0.9891902,0.010809783,110,2,BNN-DCC-GARCH
0.9670791,0.0329209,111,2,BNN-DCC-GARCH
1.0980483,-0.09804835,112,2,BNN-DCC-GARCH
1.1107502,-0.11075017,113,2,BNN-DCC-GARCH
1.6814424,-0.6814424,114,2,BNN-DCC-GARCH
1.1353993,-0.13539934,115,2,BNN-DCC-GARCH
1.0179071,-0.01790714,116,2,BNN-DCC-GARCH
0.9110056,0.0889944,117,2,BNN-DCC-GARCH
0.7566876,0.2433124,118,2,BNN-DCC-GARCH
0.9810852,0.01891482,119,2,BNN-DCC-GARCH
0.72132236,0.27867767,120,2,BNN-DCC-GARCH
1.0912927,-0.091292724,121,2,BNN-DCC-GARCH
3.19622,-2.19622,122,2,BNN-DCC-GARCH
1.315034,-0.31503403,123,2,BNN-DCC-GARCH
1.765895,-0.76589507,124,2,BNN-DCC-GARCH
4.142229,-3.1422293,125,2,BNN-DCC-GARCH
1.702946,-0.702946,126,2,BNN-DCC-GARCH
3.7303207,-2.7303207,127,2,BNN-DCC-GARCH
2.3130887,-1.3130888,128,2,BNN-DCC-GARCH
3.6896586,-2.6896586,129,2,BNN-DCC-GARCH
1.7962275,-0.7962274,130,2,BNN-DCC-GARCH
1.2153846,-0.21538454,131,2,BNN-DCC-GARCH
2.8551152,-1.855115,132,2,BNN-DCC-GARCH
2.6955793,-1.6955792,133,2,BNN-DCC-GARCH
2.0746787,-1.0746787,134,2,BNN-DCC-GARCH
1.3405464,-0.34054637,135,2,BNN-DCC-GARCH
2.262805,-1.262805,136,2,BNN-DCC-GARCH
0.74247706,0.25752294,137,2,BNN-DCC-GARCH
1.0410124,-0.04101246,138,2,BNN-DCC-GARCH
0.6471188,0.35288122,139,2,BNN-DCC-GARCH
0.7544978,0.24550216,140,2,BNN-DCC-GARCH
1.1462667,-0.14626665,141,2,BNN-DCC-GARCH
1.495539,-0.49553892,142,2,BNN-DCC-GARCH
1.0453736,-0.04537353,143,2,BNN-DCC-GARCH
0.800279,0.19972098,144,2,BNN-DCC-GARCH
0.69069064,0.30930936,145,2,BNN-DCC-GARCH
0.73935944,0.26064053,146,2,BNN-DCC-GARCH
0.75318485,0.24681513,147,2,BNN-DCC-GARCH
1.146461,-0.14646101,148,2,BNN-DCC-GARCH
1.1510224,-0.15102239,149,2,BNN-DCC-GARCH
0.84042794,0.15957205,150,2,BNN-DCC-GARCH
1.0690876,-0.06908765,151,2,BNN-DCC-GARCH
1.7229921,-0.72299206,152,2,BNN-DCC-GARCH
1.0265131,-0.026513131,153,2,BNN-DCC-GARCH
0.80050504,0.19949494,154,2,BNN-DCC-GARCH
0.7833247,0.2166753,155,2,BNN-DCC-GARCH
0.8344026,0.16559736,156,2,BNN-DCC-GARCH
0.76776075,0.23223925,157,2,BNN-DCC-GARCH
0.8947115,0.10528852,158,2,BNN-DCC-GARCH
0.66604704,0.33395296,159,2,BNN-DCC-GARCH
1.6133988,-0.61339885,160,2,BNN-DCC-GARCH
1.0615841,-0.06158414,161,2,BNN-DCC-GARCH
