Metric,Value,N_Assets,Model
R_hat,2.1224966,5,rnn
Training_RMSE,0.43908596,5,rnn
Validation_RMSE,0.3696853,5,rnn
Test_RMSE,0.34087226,5,rnn
DCC_alpha,0.4724689,5,rnn
DCC_beta,0.26592812,5,rnn
Converged,false,5,rnn
R_hat,2.1223671,5,lstm
Training_RMSE,0.3555199,5,lstm
Validation_RMSE,0.35290393,5,lstm
Test_RMSE,0.045034233,5,lstm
DCC_alpha,0.43826547,5,lstm
DCC_beta,0.22177675,5,lstm
Converged,false,5,lstm
R_hat,2.1227827,5,windowed
Training_RMSE,0.12677522,5,windowed
Validation_RMSE,0.12606907,5,windowed
Test_RMSE,0.12576081,5,windowed
DCC_alpha,0.48895022,5,windowed
DCC_beta,0.2302715,5,windowed
Converged,false,5,windowed
