Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
1,-0.17027561,1.8237933,1.3802643,1.1438456,0.6512911,15,Sequential LSTM
2,0.55410784,2.363256,1.6630968,1.2898843,1.0281336,15,Sequential LSTM
3,-0.08193945,2.2987318,1.6416945,1.2914672,0.9648132,15,Sequential LSTM
4,-0.09777715,2.271797,1.7305804,1.4420905,0.79473776,15,Sequential LSTM
5,-0.36614433,2.2896957,1.5411727,1.1421809,1.0991523,15,Sequential LSTM
6,0.26553953,2.2763739,1.6505018,1.3168873,0.9190486,15,Sequential LSTM
7,0.8713051,1.5505489,0.9463173,0.6242382,0.88727075,15,Sequential LSTM
8,-0.8959387,2.5203967,1.8317333,1.4646491,1.0112526,15,Sequential LSTM
9,0.52369,2.2845838,1.6179422,1.2625952,0.978917,15,Sequential LSTM
10,0.13484518,1.896833,1.4667611,1.2375162,0.63152975,15,Sequential LSTM
11,-0.53454596,2.6658094,1.8507408,1.4162767,1.1968704,15,Sequential LSTM
12,0.0013950687,2.6870117,1.9130725,1.500532,1.1364745,15,Sequential LSTM
13,0.33520898,2.571812,1.8954365,1.5349025,0.9932076,15,Sequential LSTM
14,-0.16647722,3.2879658,2.4256406,1.9659865,1.2662644,15,Sequential LSTM
15,0.12337676,2.5672889,1.8572562,1.478781,1.0426315,15,Sequential LSTM
16,-0.9935162,1.844233,1.2591769,0.94731885,0.8591129,15,Sequential LSTM
17,-1.3021362,3.1433609,2.2813704,1.8218949,1.2657722,15,Sequential LSTM
18,-0.6026812,3.124623,2.3824465,1.9868362,1.0898335,15,Sequential LSTM
19,-0.39597225,1.8588556,1.1366001,0.75160944,1.0605806,15,Sequential LSTM
20,1.0014026,2.0864828,1.4987838,1.1855175,0.86299396,15,Sequential LSTM
21,-0.80540985,1.7428414,1.0155178,0.6278259,1.0680226,15,Sequential LSTM
22,-0.002196391,1.6313037,1.1712781,0.92606634,0.67551506,15,Sequential LSTM
23,-0.280674,2.1232357,1.4408865,1.0771669,1.0019813,15,Sequential LSTM
24,-0.14878622,1.422495,1.001291,0.7767731,0.6185072,15,Sequential LSTM
