Asset_1_Weight,Asset_2_Weight,Day,N_Assets,Model
-0.04510168,1.0451016,1,2,Sequential RNN
0.8581993,0.14180057,2,2,Sequential RNN
0.801667,0.19833292,3,2,Sequential RNN
1.0703065,-0.07030645,4,2,Sequential RNN
0.6781829,0.32181728,5,2,Sequential RNN
0.6082105,0.3917896,6,2,Sequential RNN
0.14903796,0.8509622,7,2,Sequential RNN
-0.090610065,1.0906103,8,2,Sequential RNN
1.0329082,-0.03290821,9,2,Sequential RNN
0.4284393,0.5715607,10,2,Sequential RNN
-0.09504941,1.0950495,11,2,Sequential RNN
1.0361,-0.03609994,12,2,Sequential RNN
0.5370228,0.46297723,13,2,Sequential RNN
0.9445027,0.055497374,14,2,Sequential RNN
0.4583717,0.5416283,15,2,Sequential RNN
0.75135565,0.24864434,16,2,Sequential RNN
1.0106486,-0.010648657,17,2,Sequential RNN
0.08752463,0.9124753,18,2,Sequential RNN
0.9128173,0.08718274,19,2,Sequential RNN
0.96902305,0.030976968,20,2,Sequential RNN
1.1215873,-0.12158723,21,2,Sequential RNN
0.43913278,0.5608673,22,2,Sequential RNN
-0.02216444,1.0221645,23,2,Sequential RNN
0.7961325,0.20386732,24,2,Sequential RNN
0.86302096,0.13697915,25,2,Sequential RNN
0.6220936,0.3779063,26,2,Sequential RNN
0.75958544,0.24041457,27,2,Sequential RNN
0.5563898,0.4436102,28,2,Sequential RNN
1.0177559,-0.017755514,29,2,Sequential RNN
0.74861556,0.25138432,30,2,Sequential RNN
0.21080717,0.7891931,31,2,Sequential RNN
0.41884863,0.5811513,32,2,Sequential RNN
0.04869621,0.9513035,33,2,Sequential RNN
1.1341612,-0.13416094,34,2,Sequential RNN
0.78361595,0.21638395,35,2,Sequential RNN
0.5632612,0.4367386,36,2,Sequential RNN
0.90578765,0.09421215,37,2,Sequential RNN
0.08158918,0.9184108,38,2,Sequential RNN
0.8807077,0.119292155,39,2,Sequential RNN
0.18295318,0.81704694,40,2,Sequential RNN
1.1286105,-0.12861061,41,2,Sequential RNN
0.91221696,0.08778277,42,2,Sequential RNN
1.0535043,-0.05350463,43,2,Sequential RNN
1.0584979,-0.058497924,44,2,Sequential RNN
1.0782781,-0.07827783,45,2,Sequential RNN
