Asset_1_Weight,Asset_2_Weight,Day,N_Assets,Model
1.0438542,-0.043854043,1,2,Sequential LSTM
1.1376293,-0.13762957,2,2,Sequential LSTM
1.0492985,-0.049298614,3,2,Sequential LSTM
1.1442925,-0.14429274,4,2,Sequential LSTM
1.1223979,-0.12239764,5,2,Sequential LSTM
1.1316804,-0.13168047,6,2,Sequential LSTM
1.0682156,-0.06821579,7,2,Sequential LSTM
1.0535002,-0.053500246,8,2,Sequential LSTM
1.1400577,-0.14005773,9,2,Sequential LSTM
1.1416382,-0.14163813,10,2,Sequential LSTM
0.9861676,0.013832272,11,2,Sequential LSTM
1.1460012,-0.14600119,12,2,Sequential LSTM
1.1187637,-0.11876373,13,2,Sequential LSTM
1.1665627,-0.16656251,14,2,Sequential LSTM
1.1399609,-0.13996097,15,2,Sequential LSTM
1.0809263,-0.08092607,16,2,Sequential LSTM
1.0674367,-0.06743671,17,2,Sequential LSTM
1.0621465,-0.06214636,18,2,Sequential LSTM
1.141983,-0.14198299,19,2,Sequential LSTM
1.0464069,-0.04640694,20,2,Sequential LSTM
1.0671195,-0.067119926,21,2,Sequential LSTM
1.0822335,-0.08223343,22,2,Sequential LSTM
1.0736982,-0.07369817,23,2,Sequential LSTM
0.99183255,0.008167302,24,2,Sequential LSTM
1.0567528,-0.056752753,25,2,Sequential LSTM
1.1107928,-0.11079298,26,2,Sequential LSTM
1.0830079,-0.0830079,27,2,Sequential LSTM
1.1034906,-0.10349061,28,2,Sequential LSTM
1.1297315,-0.12973139,29,2,Sequential LSTM
1.0974569,-0.097456805,30,2,Sequential LSTM
0.9940749,0.0059251618,31,2,Sequential LSTM
1.1014056,-0.10140532,32,2,Sequential LSTM
1.0474526,-0.047452196,33,2,Sequential LSTM
1.1441773,-0.14417736,34,2,Sequential LSTM
1.1438879,-0.14388789,35,2,Sequential LSTM
1.0879507,-0.08795054,36,2,Sequential LSTM
1.1118153,-0.11181518,37,2,Sequential LSTM
1.0811139,-0.08111385,38,2,Sequential LSTM
1.1554836,-0.15548374,39,2,Sequential LSTM
0.9866413,0.013358483,40,2,Sequential LSTM
1.1654031,-0.16540322,41,2,Sequential LSTM
1.0073048,-0.0073049045,42,2,Sequential LSTM
1.1580448,-0.15804487,43,2,Sequential LSTM
1.1487614,-0.14876118,44,2,Sequential LSTM
1.1348984,-0.13489854,45,2,Sequential LSTM
0.96240497,0.0375951,46,2,Sequential LSTM
1.1415879,-0.14158794,47,2,Sequential LSTM
0.9869216,0.013078277,48,2,Sequential LSTM
1.1422701,-0.14227018,49,2,Sequential LSTM
1.1447806,-0.14478065,50,2,Sequential LSTM
1.0854847,-0.08548471,51,2,Sequential LSTM
1.0821155,-0.08211552,52,2,Sequential LSTM
1.016851,-0.016850905,53,2,Sequential LSTM
1.0275352,-0.027535152,54,2,Sequential LSTM
1.1435058,-0.14350596,55,2,Sequential LSTM
1.0312965,-0.031296562,56,2,Sequential LSTM
1.1394355,-0.13943529,57,2,Sequential LSTM
1.1385617,-0.13856182,58,2,Sequential LSTM
0.98808014,0.011919924,59,2,Sequential LSTM
1.0716865,-0.07168645,60,2,Sequential LSTM
1.0530639,-0.053064104,61,2,Sequential LSTM
1.1446866,-0.1446867,62,2,Sequential LSTM
1.023747,-0.023746945,63,2,Sequential LSTM
1.1101615,-0.11016131,64,2,Sequential LSTM
1.098557,-0.09855686,65,2,Sequential LSTM
0.97030634,0.029693587,66,2,Sequential LSTM
1.1458161,-0.14581603,67,2,Sequential LSTM
1.101148,-0.10114816,68,2,Sequential LSTM
1.1189226,-0.118922606,69,2,Sequential LSTM
1.0881737,-0.08817363,70,2,Sequential LSTM
1.1380526,-0.13805251,71,2,Sequential LSTM
1.0563644,-0.05636464,72,2,Sequential LSTM
1.0998987,-0.09989869,73,2,Sequential LSTM
0.9730696,0.026930314,74,2,Sequential LSTM
1.0975229,-0.0975228,75,2,Sequential LSTM
1.1431631,-0.14316304,76,2,Sequential LSTM
1.135301,-0.13530074,77,2,Sequential LSTM
1.1196392,-0.11963888,78,2,Sequential LSTM
1.1417916,-0.14179152,79,2,Sequential LSTM
1.0539665,-0.053966455,80,2,Sequential LSTM
1.1346728,-0.13467276,81,2,Sequential LSTM
1.0027617,-0.0027616972,82,2,Sequential LSTM
0.95435417,0.045645896,83,2,Sequential LSTM
1.1437668,-0.14376678,84,2,Sequential LSTM
1.0027577,-0.0027572087,85,2,Sequential LSTM
1.0632629,-0.06326308,86,2,Sequential LSTM
1.0129836,-0.012983561,87,2,Sequential LSTM
1.1092974,-0.109297626,88,2,Sequential LSTM
1.146584,-0.14658408,89,2,Sequential LSTM
1.0679603,-0.06796022,90,2,Sequential LSTM
1.1429076,-0.14290759,91,2,Sequential LSTM
1.1445981,-0.14459805,92,2,Sequential LSTM
1.1645036,-0.1645033,93,2,Sequential LSTM
1.1426679,-0.14266783,94,2,Sequential LSTM
1.0611773,-0.061177254,95,2,Sequential LSTM
1.1524167,-0.15241675,96,2,Sequential LSTM
1.1431326,-0.14313258,97,2,Sequential LSTM
1.1398304,-0.13983025,98,2,Sequential LSTM
1.0280945,-0.028094552,99,2,Sequential LSTM
1.0171603,-0.01716009,100,2,Sequential LSTM
0.9652028,0.03479695,101,2,Sequential LSTM
1.1661975,-0.16619769,102,2,Sequential LSTM
1.1459365,-0.1459365,103,2,Sequential LSTM
1.0851499,-0.08514981,104,2,Sequential LSTM
1.0138301,-0.013829922,105,2,Sequential LSTM
1.0760789,-0.07607881,106,2,Sequential LSTM
1.0652889,-0.06528916,107,2,Sequential LSTM
1.1428237,-0.14282379,108,2,Sequential LSTM
1.0913869,-0.09138666,109,2,Sequential LSTM
1.1619325,-0.16193277,110,2,Sequential LSTM
1.1350003,-0.1350003,111,2,Sequential LSTM
1.1588944,-0.15889473,112,2,Sequential LSTM
1.1473172,-0.14731711,113,2,Sequential LSTM
1.1532692,-0.15326926,114,2,Sequential LSTM
1.1659458,-0.16594559,115,2,Sequential LSTM
1.1626543,-0.16265391,116,2,Sequential LSTM
1.1072162,-0.107216164,117,2,Sequential LSTM
0.95763505,0.042364955,118,2,Sequential LSTM
1.1522609,-0.15226083,119,2,Sequential LSTM
1.1265497,-0.1265497,120,2,Sequential LSTM
1.1572825,-0.15728219,121,2,Sequential LSTM
1.1441246,-0.1441248,122,2,Sequential LSTM
1.1486012,-0.14860111,123,2,Sequential LSTM
1.1537706,-0.15377067,124,2,Sequential LSTM
1.1396966,-0.1396963,125,2,Sequential LSTM
1.1477474,-0.14774743,126,2,Sequential LSTM
1.1405039,-0.14050373,127,2,Sequential LSTM
1.1209996,-0.12099982,128,2,Sequential LSTM
1.1373644,-0.13736448,129,2,Sequential LSTM
1.1420689,-0.14206888,130,2,Sequential LSTM
1.0708561,-0.070855975,131,2,Sequential LSTM
1.1403046,-0.14030463,132,2,Sequential LSTM
1.1451625,-0.14516258,133,2,Sequential LSTM
1.1386361,-0.13863614,134,2,Sequential LSTM
1.1228828,-0.12288291,135,2,Sequential LSTM
1.1460845,-0.14608449,136,2,Sequential LSTM
1.0670062,-0.06700639,137,2,Sequential LSTM
1.1599926,-0.15999256,138,2,Sequential LSTM
0.9686018,0.031398106,139,2,Sequential LSTM
1.154642,-0.15464169,140,2,Sequential LSTM
1.1581647,-0.15816462,141,2,Sequential LSTM
1.1387239,-0.13872412,142,2,Sequential LSTM
1.1018596,-0.10185961,143,2,Sequential LSTM
1.1441822,-0.14418213,144,2,Sequential LSTM
1.0447598,-0.04475962,145,2,Sequential LSTM
0.97477144,0.025228247,146,2,Sequential LSTM
1.0405393,-0.040539447,147,2,Sequential LSTM
1.1640499,-0.16405016,148,2,Sequential LSTM
1.1555132,-0.15551287,149,2,Sequential LSTM
1.0150727,-0.015072529,150,2,Sequential LSTM
1.1612458,-0.16124597,151,2,Sequential LSTM
1.1532634,-0.15326332,152,2,Sequential LSTM
1.1230953,-0.12309508,153,2,Sequential LSTM
1.022821,-0.022821102,154,2,Sequential LSTM
1.1658638,-0.16586363,155,2,Sequential LSTM
1.1232295,-0.12322958,156,2,Sequential LSTM
1.1342609,-0.13426036,157,2,Sequential LSTM
1.1296985,-0.12969846,158,2,Sequential LSTM
0.97628504,0.023714831,159,2,Sequential LSTM
1.1419365,-0.14193673,160,2,Sequential LSTM
0.9955649,0.004435042,161,2,Sequential LSTM
1.0396459,-0.03964596,162,2,Sequential LSTM
1.166389,-0.1663892,163,2,Sequential LSTM
