Confidence_Level,Violation_Rate,TUFF,LRTUFF,LRUC,LRIND,LRCC,Basel_Zone,N_Assets,Model
0.01,0.036144577,115,0.020671552,10.282417,4.605631,14.888048,0,2,BNN-DCC-GARCH
0.05,0.08032128,113,6.035265,4.1040344,5.9267163,10.03075,-1,2,BNN-DCC-GARCH
0.1,0.1124498,56,6.162091,0.41394043,10.31749,10.73143,1,2,BNN-DCC-GARCH
