Model,Metric,Value,N_Assets
Sequential RNN,R_hat,2.1229925,15
Sequential RNN,DCC_alpha,2.682604e-11,15
Sequential RNN,DCC_beta,0.0013400058,15
Sequential RNN,Converged,false,15
Sequential RNN,Training_RMSE,2.3407896,15
Sequential RNN,Validation_RMSE,2.1690428,15
Sequential RNN,Test_RMSE,2.3451161,15
Sequential RNN,Coverage_90,0.8342704149933066,15
Sequential RNN,Coverage_95,0.8795180722891566,15
Sequential LSTM,R_hat,2.123119,15
Sequential LSTM,DCC_alpha,1.0753552e-11,15
Sequential LSTM,DCC_beta,0.0014055067,15
Sequential LSTM,Converged,false,15
Sequential LSTM,Training_RMSE,1.4544675,15
Sequential LSTM,Validation_RMSE,1.111067,15
Sequential LSTM,Test_RMSE,2.2080293,15
Sequential LSTM,Coverage_90,0.8449799196787149,15
Sequential LSTM,Coverage_95,0.8779116465863454,15
