Confidence_Level,Violation_Rate,TUFF,LRTUFF,LRUC,LRIND,LRCC,Basel_Zone,N_Assets,Model
0.01,0.124497995,38,0.7054418,102.757996,9.907875,112.66587,Yellow,30,Sequential LSTM
0.05,0.17269076,33,0.31183445,49.622467,4.006027,53.628494,Red,30,Sequential LSTM
0.1,0.2248996,10,4.0231873e-7,33.10495,7.116184,40.221134,Red,30,Sequential LSTM
