Model,Avg_Portfolio_Return,Portfolio_Volatility,Avg_VaR_1,Avg_VaR_5,Avg_VaR_10,N_Assets
Sequential RNN,0.024459585547447205,1.178174376487732,2.6216723918914795,1.8193354606628418,1.3916579484939575,5
Sequential LSTM,0.0023413575254380703,1.4764900207519531,3.510357141494751,2.5048668384552,1.9689007997512817,5
