Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,N_Assets,Model
-0.0112066325,0.0015220877,-0.28508776,-0.20866713,-0.10520345,-0.059096128,-0.07646089,0.23877683,1.7336831,-0.12795085,0.50707906,-0.14800358,0.17139614,0.14387153,-0.26961425,0.062440004,-0.71891165,-0.5197081,0.016263284,0.23761033,0.07053284,0.21965179,0.19676286,-0.13622521,-0.15493023,-0.36158973,0.099349424,-0.15204205,0.6357582,1,29,BNN-DCC-GARCH
0.018615339,-0.018194355,0.111143254,-0.01647366,0.1095957,-0.017770937,-0.006347063,0.12309936,-0.10307354,0.57237875,0.19872448,0.22935463,-0.29222867,-0.28704476,0.13562535,0.022894239,-0.15076514,-0.33279145,-0.16215827,-0.29372567,0.29659033,0.20180908,-0.049326178,-0.06261359,0.05012969,0.31276688,-0.047004696,-0.11747809,0.5742691,2,29,BNN-DCC-GARCH
-0.0025623706,-0.0047512655,-0.12401476,-0.052346736,-0.048845425,0.75056285,-0.024935456,0.27877232,0.48940158,0.11379944,-0.022287272,0.023326974,0.11762363,-0.04220824,-0.028431177,-0.028378291,-0.16937278,-0.22103934,-0.09237258,-0.12585744,0.5338937,-0.027361523,0.010794874,-0.054156035,-0.0567005,-0.121605836,-0.16300543,-0.120850235,0.21290706,3,29,BNN-DCC-GARCH
0.012043467,-0.023000851,-0.0713491,-0.11357925,0.036991637,0.98700213,-0.028726026,0.35141847,0.6459885,0.5694428,0.113346726,0.02581884,-0.26914942,0.09557768,-0.03143436,-0.040393475,-0.02839664,-0.52738357,-0.014906125,-0.3599601,0.75576806,-0.17060873,0.05814987,-0.08103741,-0.105814934,-0.15260024,-0.30597037,-0.16460536,-0.16263181,4,29,BNN-DCC-GARCH
0.015077119,0.0042203986,-0.17268081,-0.031382915,-0.030482445,0.50897616,-0.018016346,0.1756237,0.14612098,1.1359562,0.051230974,0.11662183,-0.03064051,-0.18393488,0.06443741,-0.024023348,-0.07199652,-0.4110204,-0.11211252,-0.46619537,0.26452556,0.060207203,-0.034490697,-0.02117275,-0.0037534577,0.041212946,-0.2053621,-0.12351634,0.35657093,5,29,BNN-DCC-GARCH
0.03538965,0.0020363887,0.14631672,-0.050364684,0.34918687,0.45455348,-0.018306825,0.14856711,-0.103288926,1.6059024,-0.0066192136,0.07580905,-0.56465745,-0.20046884,-0.029377045,-0.025629837,0.18417898,-0.49977076,-0.062081184,-0.8160044,0.04982948,0.048650656,-0.0057520997,0.025541078,0.055551495,0.075222015,-0.08438477,-0.09428117,0.30425122,6,29,BNN-DCC-GARCH
0.059621323,0.0021642551,0.12944378,-0.04783637,0.15467066,0.6759388,-0.020022979,0.22714269,0.17091534,0.7973555,-0.09465613,0.10920616,-0.41927016,-0.19931,-0.051091924,0.009320369,0.14991549,-0.57473814,-0.07756908,-0.3355836,0.19365858,-0.06087807,-0.05550157,-0.029274032,0.08462228,-0.2577885,-0.21692358,-0.05865777,0.7351267,7,29,BNN-DCC-GARCH
0.23565716,-0.018195339,0.42934474,-0.027050138,0.461731,0.2653804,-0.031341553,0.11635965,-0.34905013,0.93335485,-0.3378274,0.15053697,-0.7345965,0.05646862,-0.0031584385,-0.06096855,1.0017201,0.09598338,0.15850301,-0.55314183,-0.16590253,-0.18611412,-0.285817,0.13842276,-0.05586932,-0.5096313,0.4620714,0.015994342,-0.20286432,8,29,BNN-DCC-GARCH
0.008344876,-0.015729727,0.31473362,-0.056858912,0.26550624,0.86376464,-0.046695992,0.3833636,0.4838997,0.01663929,-0.24645065,0.08472537,-0.36167115,-0.13777077,0.46946484,-0.11421403,0.3184867,-0.4024645,-0.1655495,-0.04140864,0.06762436,-0.07483473,-0.111136496,-0.010644219,0.062045697,-0.6964144,-0.0913601,-0.20101023,0.43561545,9,29,BNN-DCC-GARCH
0.02728074,0.018822303,-0.16771337,-0.014858841,-0.13011175,0.31253785,0.019823015,-0.12893362,1.178725,0.78245306,-0.002590915,0.14978714,0.11955762,-0.1662625,-0.06355033,0.023502637,-0.08787062,0.3132061,0.06161537,-0.27394474,-0.0048004906,0.005428523,-0.13097121,-0.024873326,-0.050465766,-0.5634639,-0.054734956,0.07597556,-0.22356878,10,29,BNN-DCC-GARCH
0.17692077,-0.010944276,-0.17911276,-0.06874053,-0.0880951,0.48920465,-0.036304183,0.15956622,1.2454941,0.6738571,0.04495716,0.14538041,-0.14455554,-0.052848708,-0.03676965,-0.014379642,-0.12471525,-0.31841543,-0.046860486,-0.24909145,0.26522243,-0.06285767,-0.08058067,-0.015028325,-0.08993306,-0.49266556,-0.13451761,0.004765865,0.04104722,11,29,BNN-DCC-GARCH
0.056379706,-0.036855754,-0.14294635,-0.09437039,0.08230203,0.3278116,-0.10030701,0.31782827,-0.17325756,0.1195807,0.98281485,0.015155625,-0.3503834,-0.20659359,-0.09143747,-0.015388527,-0.20929052,-0.50045955,-0.06045815,-0.041649256,-0.0037889127,0.08723821,0.048035696,-0.25583136,-0.084881306,0.44253913,-0.061659455,-0.1181469,1.06802,12,29,BNN-DCC-GARCH
0.08593425,0.055419017,0.3803114,0.058424756,0.25847572,1.7597442,-0.0070494926,0.062407583,-0.64559126,0.9026135,-0.94441766,-0.31639344,-0.39461648,0.19553131,-0.42056474,-0.026234876,1.0620475,0.5839093,-0.020990228,-1.2328861,-0.15926673,-0.52267575,-0.0113472855,-0.33055836,0.1789361,-0.5368412,-0.21177222,-0.048293624,1.2457451,13,29,BNN-DCC-GARCH
0.050720673,0.009387696,0.55339545,-0.028321242,0.5144131,0.6679447,0.25535423,-0.0413496,-0.5374557,0.84632665,-0.38401103,-0.0011274648,-0.7265236,0.2331257,-0.056832656,-0.023330526,0.41542664,0.2895418,0.12084453,-0.8010927,0.07328763,-0.29355344,-0.11681322,-0.048707474,0.07991406,0.06965698,-0.16241123,-0.07412532,0.11631566,14,29,BNN-DCC-GARCH
0.11663668,-0.10595992,0.55309683,-0.17223874,0.41979274,1.0448176,0.08479439,0.25372005,0.22673258,0.3349784,-0.49025416,-0.44834897,-0.7658588,-1.1855482,0.4911533,-0.13715327,0.009156965,-1.0736543,0.34734136,-0.77183855,0.561946,0.48639473,0.6031414,0.064047955,-0.10634708,0.18261658,-0.15682486,-0.5875611,1.2212205,15,29,BNN-DCC-GARCH
