Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,Model
-0.016847119,-0.0046560685,-0.08597776,-0.009011769,-0.041876093,-0.0018286299,-0.009609021,0.011656465,0.05322467,0.0198272,0.025804184,-0.0033040573,0.114326425,0.027750293,-0.031035565,-0.0027488116,-0.035883438,0.058569197,-0.009150095,-0.032781344,-0.009315358,-0.002878031,-0.009834663,-0.020945517,-0.012961125,-0.04305176,-0.011752887,-0.0008812378,0.057804056,1.0273678,1,Sequential LSTM
-0.016799958,-0.0045782155,-0.08305677,-0.008470499,-0.042935997,-0.00018273898,-0.010417274,0.012795588,0.049859185,0.014501671,0.024794765,0.0055845696,0.11089225,0.024728036,-0.027303476,-0.0011406087,-0.036603216,0.048652887,-0.018631883,-0.024518618,-0.011763807,-0.004178426,-0.012319668,-0.019919025,-0.0070149004,-0.0349854,-0.011810924,-0.002375732,0.054516263,1.032682,2,Sequential LSTM
-0.013696828,-0.0019648978,-0.079277,-0.005376032,-0.043125056,-0.012292673,-0.010412539,0.0020062143,0.06166711,0.022507705,0.013866277,0.027709428,0.10783895,-0.0011709626,-0.020850714,0.0020085042,-0.035596542,0.059353746,-0.020787727,-0.03567659,-0.015892204,-0.00038597354,-0.03482793,-0.01692635,-0.009513475,-0.050762556,-0.0048076846,-0.0014911126,0.08386082,1.0340161,3,Sequential LSTM
-0.0150705045,-0.0014432869,-0.074843995,-0.0049485723,-0.041528057,-0.014888315,-0.011446509,0.0066878176,0.07842949,0.027293796,0.014678685,0.013303634,0.09414282,0.0014040652,-0.026412148,0.0008304893,-0.03707922,0.051284995,-0.015811125,-0.034938555,-0.017468123,-0.00025687943,-0.020731328,-0.010876481,-0.00800538,-0.056978136,0.0012650173,-0.0021113297,0.07129711,1.03422,4,Sequential LSTM
-0.017639253,-0.0034968222,-0.0808127,-0.005016985,-0.045139067,-0.0192883,-0.012877677,0.0063184695,0.08147244,0.030032637,0.02012418,0.015708765,0.10571166,0.011545237,-0.03246135,0.0021701087,-0.040707357,0.056215342,-0.014517892,-0.032962464,-0.017744144,-0.0028726922,-0.023734815,-0.012825284,-0.014398132,-0.05647404,0.00022146595,-0.0016537623,0.071268685,1.0338337,5,Sequential LSTM
-0.018247325,-0.0048491354,-0.07945331,-0.0054849405,-0.04185936,-0.017323917,-0.013780686,0.014117273,0.06754406,0.03597386,0.024562517,0.015066704,0.097356595,0.012094259,-0.02574419,0.001669582,-0.036354825,0.05214889,-0.009382468,-0.030155744,-0.01572003,-0.005536559,-0.024623215,-0.0147237955,-0.015170575,-0.054837596,0.00015330208,-0.0021560164,0.06313997,1.0315768,6,Sequential LSTM
-0.015824856,-0.004012941,-0.077845566,-0.005655079,-0.04247176,-0.01120362,-0.014298393,0.012972582,0.058175832,0.03531794,0.02400012,0.016793434,0.09656252,0.0259716,-0.027454097,-0.00029513985,-0.039018057,0.044558976,-0.009303723,-0.032522894,-0.0077753915,-0.0025405777,-0.025428148,-0.01403913,-0.01819489,-0.04039836,-0.0012961978,-0.0066907727,0.05142559,1.030491,7,Sequential LSTM
-0.016259128,-0.004223789,-0.08408568,-0.006513309,-0.041585743,-0.008547363,-0.014367042,0.013017133,0.05509165,0.032792654,0.025282232,0.010544328,0.103259295,0.02710913,-0.026918205,-0.0009903747,-0.03604376,0.0468074,-0.008622956,-0.031543966,-0.009087888,-0.0022223345,-0.019815993,-0.01615901,-0.018495148,-0.04084213,-0.004410765,-0.004715567,0.051336434,1.0302099,8,Sequential LSTM
-0.015665734,-0.0030502942,-0.076154426,-0.0069702677,-0.039002478,-0.009953781,-0.011639825,0.011257063,0.056155823,0.031317666,0.029139888,0.0015425251,0.09073175,0.042805772,-0.031518474,-0.0029409428,-0.035361722,0.05462419,-0.008330505,-0.038552612,-0.008581304,-0.006813331,-0.014990386,-0.01761771,-0.014802566,-0.04308017,-0.0031826862,-0.0026238016,0.042560086,1.0306983,9,Sequential LSTM
-0.016104514,-0.00280116,-0.08225949,-0.0074857245,-0.036851723,-0.0067358324,-0.0107274065,0.01065703,0.055343762,0.025065266,0.02680784,0.0011207142,0.09945627,0.03741224,-0.031028293,-0.0027502975,-0.035673488,0.055524588,-0.009219634,-0.035187908,-0.007978897,-0.0057173697,-0.014697223,-0.018479409,-0.0132867815,-0.041502874,-0.005726778,-0.0028218469,0.048178703,1.0274702,10,Sequential LSTM
