Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,2271.1538,NaN,5.0,1,5,9.2103405,Sequential RNN,2271.1538,Red,99.5984
0.1,987.6324,0.14703748,5.0,1,5,4.6051702,Sequential RNN,987.48535,Red,94.77911
0.05,1388.688,1.838349,5.0,1,5,5.9914646,Sequential RNN,1386.8496,Red,97.18875
0.01,2271.1538,NaN,5.0,1,5,9.2103405,Sequential LSTM,2271.1538,Red,99.5984
0.1,960.6166,3.025157,5.0,1,5,4.6051702,Sequential LSTM,957.59143,Red,93.574295
0.05,1427.3346,NaN,5.0,1,5,5.9914646,Sequential LSTM,1427.3346,Red,98.39357
