N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
5,2.3286588,4.7705366e-6,1.6647247,Sequential RNN,3.4527418e-14,5.0,1.2094749
5,2.3191009,4.8911465e-6,1.6652524,Sequential LSTM,2.7792711e-14,5.0,1.194855
