N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
15,2.2247741,0.9334697,1.4665668,Sequential RNN,0.0035229246,5.0,1.114304
15,2.209834,0.9338303,1.4588401,Sequential LSTM,0.0030194146,5.0,1.1035212
