N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
10,2.1178591,0.5917674,1.465724,Sequential RNN,7.292607e-5,5.0,1.1099412
10,2.1151416,0.00015369937,1.4621421,Sequential LSTM,1.7025099e-13,5.0,1.1053922
