N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
2,2.9361765,5.304814e-6,1.9357187,Sequential RNN,2.3880903e-13,5.0,1.4411117
2,2.9276845,5.781649e-6,1.9350364,Sequential LSTM,2.3667597e-13,5.0,1.442879
