N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
15,2.2050173,0.3567875,1.4834896,Sequential RNN,0.19398986,5.0,1.1059946
15,2.209089,0.45958486,1.5913365,Sequential LSTM,0.014081994,5.0,1.2335801
