N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
29,2.288293,0.34918585,1.5492382,Sequential RNN,0.14123893,5.0,1.2684207
29,2.2900233,0.5135154,1.5170647,Sequential LSTM,0.016936265,5.0,1.2184211
