N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
30,2.3456593,0.5081184,10.694883,Sequential RNN,0.2926509,5.0,10.599366
30,3.0174332,0.52009845,8.828586,Sequential LSTM,0.30271766,5.0,8.840905
