N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Validation_RMSE
2,2.93445,4.709027e-6,1.934539,Sequential RNN,2.1823593e-12,1.4438525
2,2.929908,4.1721796e-6,1.934437,Sequential LSTM,9.198592e-13,1.4449477
