Metric,Value,N_Assets,Model
R_hat,2.1229923,5,rnn
Training_RMSE,2.876402,5,rnn
Validation_RMSE,2.6847682,5,rnn
Test_RMSE,2.4986804,5,rnn
DCC_alpha,0.3674958,5,rnn
DCC_beta,0.32885924,5,rnn
Converged,false,5,rnn
R_hat,2.1228242,5,lstm
Training_RMSE,1.8961054,5,lstm
Validation_RMSE,1.4217547,5,lstm
Test_RMSE,2.41819,5,lstm
DCC_alpha,0.29289767,5,lstm
DCC_beta,0.34956986,5,lstm
Converged,false,5,lstm
