N_Assets,Test_RMSE,DCC_beta,Training_RMSE,Model,DCC_alpha,Nu,Validation_RMSE
29,2.4362988,0.5050817,10.565383,Sequential RNN,0.28042176,5.0,10.498095
29,3.3608153,0.527987,8.617556,Sequential LSTM,0.28914207,5.0,8.608916
