Confidence_Level,Violation_Rate,TUFF,LRTUFF,LRUC,LRIND,LRCC,Basel_Zone,N_Assets,Model
0.01,0.036144577,121,0.039124638,10.282417,1.0005293,11.282947,Yellow,2,Sequential LSTM
0.05,0.0562249,115,6.205195,0.19561768,4.3905597,4.5861773,Green,2,Sequential LSTM
0.1,0.08032128,56,6.162091,1.1409454,3.1674762,4.3084216,Green,2,Sequential LSTM
