Confidence_Level,LR_CC,LR_IND,Nu,TUFF,N_Assets,LR_TUFF,Model,LR_UC,Basel_Zone,PF_Percent
0.01,146.10922,16.023258,5.0,96,30,0.001659253,Sequential RNN,130.08597,Yellow,14.45783
0.1,75.01579,13.249618,5.0,12,30,0.039038308,Sequential RNN,61.766174,Red,27.710842
0.05,103.46915,16.99274,5.0,12,30,0.2358538,Sequential RNN,86.47641,Red,22.088354
0.01,52.759747,3.1674762,5.0,112,30,0.013470583,Sequential LSTM,49.59227,Yellow,8.032128
0.1,30.04118,13.721874,5.0,13,30,0.08289922,Sequential LSTM,16.319305,Red,18.473894
0.05,40.53875,11.063379,5.0,13,30,0.17157996,Sequential LSTM,29.475372,Red,14.056225
