Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.0562249,13,25.875671,4.3905597,30.266232,Yellow
0.05,0.084337346,12,5.170517,12.006573,17.17709,Red
0.1,0.12851405,12,2.0829163,8.798322,10.881238,Yellow
