Confidence_Level,Violation_Rate,TUFF,LRTUFF,LRUC,LRIND,LRCC,Basel_Zone,N_Assets,Model
0.01,0.064257026,112,0.013470583,33.264122,5.184626e-26,33.264122,Yellow,10,Sequential LSTM
0.05,0.10843374,91,4.2135696,13.616196,0.44401532,14.060211,Red,10,Sequential LSTM
0.1,0.15261044,83,11.058714,6.7077637,1.0564528,7.7642164,Red,10,Sequential LSTM
