N_Assets,Confidence_Level,LR_CC,LR_IND,Basel_Zone,LR_TUFF,Model,LR_UC,PF_Percent,TUFF
5,0.01,5.9999156,2.415977,Yellow,0.013470583,Sequential RNN,3.5839386,2.4096384,112
5,0.1,2.3141215,1.173176,Green,12.74812,Sequential RNN,1.1409454,8.032128,92
5,0.05,4.006488,3.025157,Green,5.5293636,Sequential RNN,0.9813309,6.4257026,107
5,0.01,5.1236563,3.1464646,Green,0.05024429,Sequential LSTM,1.9771919,2.008032,124
5,0.1,4.838302,0.84234554,Green,12.74812,Sequential LSTM,3.9959564,6.4257026,92
5,0.05,5.7147923,4.605631,Green,5.5293636,Sequential LSTM,1.1091614,3.6144576,107
