Asset_1_Weight,Asset_2_Weight,Day
0.87347996,0.12652004,1
1.1637174,-0.16371736,2
1.1728151,-0.17281504,3
1.1973429,-0.19734284,4
1.1435757,-0.1435757,5
1.2432591,-0.24325903,6
1.0810587,-0.08105872,7
0.8714086,0.1285914,8
0.8325536,0.16744637,9
0.7772876,0.22271241,10
0.82524055,0.17475948,11
1.4355239,-0.4355239,12
1.1302142,-0.13021417,13
1.991815,-0.991815,14
0.70048255,0.29951745,15
1.2102562,-0.21025619,16
0.7972219,0.2027781,17
0.86441475,0.13558525,18
0.7867897,0.21321028,19
1.098314,-0.09831411,20
1.9824297,-0.98242974,21
1.3006588,-0.30065885,22
1.0976806,-0.09768058,23
1.1293131,-0.1293131,24
1.202572,-0.20257197,25
1.1225672,-0.12256712,26
1.2333596,-0.23335956,27
1.334248,-0.3342479,28
1.0213395,-0.021339543,29
1.0995029,-0.09950291,30
0.9948522,0.0051477966,31
1.0928106,-0.09281064,32
0.840344,0.159656,33
0.942962,0.057038028,34
1.2687225,-0.26872256,35
1.3416554,-0.3416553,36
1.1333379,-0.13333787,37
1.0716157,-0.071615644,38
1.4925992,-0.49259925,39
1.0240018,-0.024001885,40
1.3520916,-0.35209158,41
1.1626762,-0.16267626,42
1.314484,-0.314484,43
1.4108542,-0.41085425,44
1.1322942,-0.13229416,45
0.9159971,0.08400288,46
1.120325,-0.12032496,47
0.7334699,0.26653007,48
0.72060066,0.27939934,49
0.6622996,0.33770043,50
1.1030073,-0.10300736,51
0.8785291,0.121470906,52
0.6846299,0.31537008,53
1.0327271,-0.032727174,54
0.7729135,0.22708648,55
1.3939918,-0.39399183,56
0.7123407,0.2876593,57
0.62858015,0.37141982,58
0.71180373,0.28819627,59
1.1027688,-0.102768764,60
1.1210879,-0.12108796,61
1.0739708,-0.07397075,62
1.9417957,-0.9417957,63
0.95276546,0.047234543,64
1.0486678,-0.04866776,65
0.823968,0.17603202,66
0.68632364,0.31367633,67
0.91884744,0.08115254,68
0.9198312,0.08016876,69
0.9666586,0.0333414,70
0.7533739,0.24662605,71
0.8213491,0.17865093,72
1.0528382,-0.05283817,73
0.7710951,0.22890489,74
0.95482665,0.045173343,75
0.9973317,0.0026683356,76
0.7718139,0.22818607,77
0.98967355,0.01032644,78
1.2558029,-0.25580287,79
