Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.07630522,14,45.333252,0.217617,45.55087,Yellow
0.05,0.10843374,14,13.616196,3.3023934,16.918589,Red
0.1,0.16867469,8,11.0546875,0.69013137,11.744819,Red
