Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.08835341,13,58.431976,7.2172375,65.649216,Yellow
0.05,0.14859438,13,34.141525,4.3749847,38.51651,Red
0.1,0.18072289,12,14.920822,2.4863813,17.407204,Red
