Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day
-0.008091131,-0.028032552,0.028339718,-0.0031512433,0.05230421,0.010776515,-0.06870802,0.05440166,-0.05576541,0.02182081,0.0073109404,0.033889182,0.08416409,0.022480927,-0.036267783,0.014999976,-0.013622743,0.106117405,-0.053660825,-0.0029322777,0.06803298,0.030872459,-0.03746278,-0.0016029546,0.0025939026,-0.034997854,0.015955884,-0.053070754,0.097094,0.74621165,1
-0.010325338,-0.0319593,0.038693544,-0.0030281106,0.05833467,0.0066551333,-0.06473805,0.05540287,-0.0507092,0.041714504,-0.013732998,0.08443173,0.07394702,0.026519172,-0.04826114,0.0085768225,-0.019235073,0.11432711,-0.060545456,-0.0020819607,0.06941121,0.022446876,-0.04501359,-0.002786152,-0.005127718,-0.029539801,0.008315917,-0.055190388,0.11249243,0.72100526,2
-0.008831245,-0.036445633,0.021014463,-0.033664096,0.047755215,0.042112533,-0.03878182,0.105585806,-0.043102726,0.040093057,-0.0009154483,0.051197406,0.039611027,0.055815607,-0.06488018,-0.00877528,-0.037719257,0.12677409,-0.08262275,0.008861184,0.05618123,0.0038905127,-0.03404536,0.0013688069,0.0027530198,-0.020300867,0.027650846,-0.075080276,0.12541187,0.72908825,3
-0.0068878043,-0.038712837,0.016730014,-0.028880872,0.055116612,0.05531287,-0.049673676,0.09552441,-0.032179493,0.035056803,0.020292891,0.053423453,0.05185959,0.05078395,-0.06681146,-0.0050791125,-0.040619403,0.12359624,-0.08034147,0.015644228,0.06400173,-0.00042529556,-0.035085842,-0.00688187,-0.0049250764,-0.011153756,0.021001637,-0.0818376,0.120478526,0.7106726,4
0.004900003,-0.03534701,-0.007774755,-0.051019184,0.050489902,0.09442133,-0.024802528,0.10936124,-0.038139064,0.03190964,0.012214218,0.044919733,0.037735026,0.030753376,-0.06847385,-0.002609872,-0.041713823,0.129165,-0.086814344,-0.0033155617,0.06090329,0.02538464,-0.031223021,-0.00361627,0.025698261,-0.014831842,0.02700881,-0.0981702,0.12488992,0.69809693,5
0.0045499,-0.03869415,-0.013022884,-0.04131712,0.044005945,0.09221656,-0.034059007,0.10858546,-0.03233762,0.030877765,0.038193405,0.040145747,0.039619952,0.038237263,-0.0716776,-2.1161004e-5,-0.027676959,0.124076046,-0.082910016,0.0009954339,0.07236887,0.028107172,-0.02807391,-0.02274139,0.021593748,-0.024475217,0.020284072,-0.09844521,0.12120522,0.6903897,6
0.0012869559,-0.039863512,0.0073977206,-0.044869173,0.039809734,0.093563676,-0.027819384,0.117278256,-0.032443523,0.022125464,0.04094699,0.030159354,0.049801923,0.03574724,-0.06375795,0.018110316,-0.034911744,0.116603896,-0.0912086,0.024740117,0.07362134,0.013490833,-0.023091968,-0.02485459,0.022420699,-0.029274134,0.009007157,-0.09415236,0.11583749,0.67429775,7
0.015697105,-0.046462826,-0.019809736,-0.048376467,0.039255366,0.06846603,-0.036489576,0.13175416,-0.024639275,0.008393375,0.04077103,0.021171544,0.04291682,0.057369977,-0.061477527,0.0030900503,-0.025716975,0.11359164,-0.07656608,0.021153303,0.06381397,0.024073778,-0.011526084,-0.03861815,0.0074690464,-0.046936963,0.035180096,-0.047359746,0.11788957,0.67192256,8
0.013434851,-0.04910759,-0.030610755,-0.046566386,0.040504016,0.111555286,-0.04375713,0.12568168,-0.0021728224,0.027996236,0.0490273,-0.0027488428,0.046506457,0.07249659,-0.061054047,0.023368744,-0.041041303,0.07962378,-0.056541324,-0.022475038,0.06168427,0.00869321,-0.005925384,-0.05453626,0.035280477,-0.0279518,0.012370562,-0.026449688,0.071625054,0.69108987,9
0.015087555,-0.0587943,-0.03135159,-0.05354994,0.04973338,0.08724241,-0.034540392,0.12655026,-0.0019888207,0.027410278,0.061552063,0.0034723445,0.020836074,0.04066157,-0.047075316,0.023149485,-0.04450385,0.08740705,-0.057493273,0.00033199234,0.0784318,0.026624767,0.003430835,-0.044701364,0.012643507,-0.03328496,0.015923243,-0.030965252,0.07765373,0.6801067,10
0.03460967,-0.050917123,-0.0258294,-0.056090612,0.044818144,0.117694385,-0.035472587,0.11745021,0.0068152878,0.024134183,0.0721486,-0.00079378585,0.020389354,0.04962887,-0.05535573,0.027818782,-0.044444032,0.08398578,-0.059719704,0.00011239556,0.068268016,0.01865256,0.0029196262,-0.040067248,0.010884268,-0.04403594,0.0155183235,-0.033775676,0.07447864,0.6561747,11
0.024396598,-0.05248955,-0.025959345,-0.04030162,0.05839047,0.12691063,-0.029129703,0.087481916,-0.0030653034,0.01694537,0.058479615,0.0010586403,0.020051343,0.057432838,-0.06534682,0.025361877,-0.043470103,0.081054606,-0.048016958,0.02269868,0.08834594,0.04336686,0.0030533674,-0.03903045,0.0071017127,-0.042421274,0.004252498,-0.04506009,0.070732206,0.6371761,12
0.0036721858,-0.04528705,-0.002040553,-0.050785657,0.09953079,0.1320656,-0.023614474,0.087523095,-0.0037472628,0.024373518,0.05996484,0.00909428,0.006441259,0.019249205,-0.040189117,0.0014417256,-0.012783647,0.026359482,-0.0760348,0.0276491,0.121197514,0.08772293,0.023934403,-0.07909038,-0.00090481277,-0.040036675,-0.0009882953,-0.002898431,0.016546061,0.6316352,13
0.049451455,-0.056615688,-0.03014913,-0.09206374,0.054527543,0.019568654,0.014822468,0.11187598,-0.023892118,0.0077854656,-0.00075766846,0.0033850851,0.028515432,0.051072,0.029439958,0.07811336,0.0059181727,-0.048273284,-0.035333272,0.030372124,0.046160884,0.10015546,-0.009668928,-0.025886279,0.014843117,-0.04868169,0.047049794,0.020961918,-0.0382649,0.69556785,14
0.027264392,-0.035841096,-0.008259364,-0.08132471,0.08896319,0.014783985,0.029148424,0.08686934,-0.032193333,-0.0025518623,-0.0025454378,-0.0051806127,-0.008471975,0.042567648,0.005754702,0.111847214,0.013238984,-0.05813571,-0.03138397,0.058848474,0.030296171,0.09849329,0.0144575825,-0.01621557,0.0048828903,-0.041331563,0.02838224,0.02502756,-0.047490228,0.69009936,15
0.012747346,-0.04014492,-0.015429662,-0.07177802,0.06656583,0.0034473585,0.035135712,0.07860922,-0.034820516,-0.012941771,0.019762624,-0.007427859,0.025724484,0.050772082,0.014778074,0.10209814,0.013624404,-0.05782076,-0.0060423687,0.02250214,0.0024976966,0.13936223,0.02649408,-0.050439995,0.0032525873,-0.045275334,0.070926405,0.016712422,-0.044927377,0.68203574,16
0.011003157,-0.048079487,-0.009917743,-0.064282,0.06567957,0.00896931,0.0234361,0.08379087,-0.040775623,-0.015957328,0.02705991,-0.00694048,0.040411774,0.04875576,0.019795632,0.116690874,0.012226169,-0.046017326,-0.0148964645,0.01949791,-0.0020203881,0.12521303,0.016183762,-0.04690424,-0.011661054,-0.039305504,0.04830933,0.013560037,-0.03152329,0.69769776,17
0.013295714,-0.035758644,-0.023283463,-0.033171445,0.07488954,-0.024445172,0.032519665,0.046854097,-0.042366214,-0.012365802,0.03082675,-0.005455691,0.015469793,0.026864192,0.038337484,0.1292463,0.02280795,-0.055278677,-0.0041763466,0.0015232979,0.0084554395,0.14473915,0.011464907,-0.039733615,0.02188218,-0.0632112,0.056663275,0.04238241,-0.049069792,0.67009395,18
