Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day
-0.065470465,-0.20793037,0.05594569,-0.040377345,0.26588303,0.7621413,-0.31971642,0.19600657,0.17392695,0.4168557,-0.27420783,0.039291974,0.4485352,0.11616711,-0.5670511,1
-0.048095793,-0.14956896,0.21930322,0.005556016,0.2150876,0.43496037,-0.22196649,0.0589039,0.10236615,0.43971226,-0.31400082,0.2797527,0.33021137,0.0627513,-0.4149728,2
-0.02820826,-0.23683925,0.026852174,-0.10315904,0.19197355,0.61380714,-0.14587438,0.37022316,0.121512264,0.49161017,-0.30962503,0.1818578,0.17011578,0.18284549,-0.52709156,3
-0.011187792,-0.22137903,-0.00022016013,-0.09198223,0.23066263,0.59440607,-0.19048955,0.3109345,0.14880781,0.45704338,-0.24074136,0.1724546,0.20249094,0.14923589,-0.51003575,4
0.09432691,-0.18020196,-0.1509369,-0.24216928,0.14303252,0.9155143,-0.064961426,0.43327203,0.07088798,0.40356335,-0.20921399,0.1372751,0.10215605,0.05397317,-0.5065179,5
0.078412294,-0.18623367,-0.18057896,-0.17044549,0.10988267,0.76875424,-0.08468889,0.34299448,0.22954267,0.413567,-0.1114798,0.10727966,0.09936138,0.07673531,-0.4931029,6
0.03816716,-0.16361824,-0.060453188,-0.17123342,0.09889195,0.70160866,-0.06641624,0.38952684,0.10137089,0.4035655,-0.13935885,0.11761389,0.12550372,0.06473019,-0.43989885,7
0.14019978,-0.19190495,-0.10735006,-0.12335265,0.04097499,0.7555864,-0.08145757,0.30118528,0.100277334,0.38076043,-0.17941435,0.09607021,0.21347569,0.12355878,-0.46860936,8
0.15145409,-0.17064407,-0.12086065,-0.08181058,0.03657511,0.73326504,-0.09787976,0.24256706,0.11408,0.24791169,-0.18489046,-0.0026021479,0.24387106,0.24054553,-0.35158187,9
0.029859602,-0.17867342,-0.11300341,-0.15939419,0.14072144,0.8181021,-0.11993045,0.34046915,0.11048146,0.3413621,-0.11814491,0.077506386,0.20986938,0.094214775,-0.47344005,10
0.1444067,-0.14540239,-0.07681729,-0.1430065,0.107991025,0.7352222,-0.1346338,0.32033685,0.11274283,0.24007738,-0.013820425,0.048268266,0.11917188,0.11142624,-0.425963,11
0.13064513,-0.119902514,-0.0611835,-0.07508439,0.15855719,0.7023404,-0.09259632,0.12406922,0.070266485,0.25195396,-0.012542239,0.034466524,0.11847514,0.1775741,-0.4070392,12
0.04753201,-0.12913762,-0.010449897,-0.08682993,0.42860186,0.67016405,-0.036650576,0.06677449,0.15806101,0.25752568,-0.05299019,-0.033214167,-0.016954055,0.037461165,-0.29989383,13
0.23967886,-0.27505386,-0.14598554,-0.4301359,0.31814024,0.5488486,0.037370373,0.40447593,-0.04053486,0.42256755,-0.39842054,-0.13087977,0.3136544,0.2427139,-0.10643934,14
0.048626076,-0.07944196,-0.011296994,-0.46604413,0.5230493,0.4659818,0.20407002,0.1829677,-0.045286413,0.6239333,-0.5262735,0.047496207,0.05393301,0.18374105,-0.20545548,15
-0.060396705,-0.17045367,-0.030261697,-0.4484115,0.4673787,0.50474983,0.27052537,0.18037215,-0.07419765,0.48506182,-0.511742,0.051467687,0.3111283,0.24642062,-0.22164124,16
-0.09629444,-0.2103695,-0.03725972,-0.43148127,0.49497792,0.4690864,0.19246659,0.25283766,-0.08829478,0.42695853,-0.46587777,-0.0012614119,0.3958672,0.29255953,-0.19391495,17
-0.11031625,-0.08060592,-0.09141728,-0.17066193,0.6167483,0.34940657,0.28147143,-0.098181464,-0.19320044,0.40133992,-0.31915668,-0.06973021,0.24309304,0.2090695,0.032141414,18
-0.29236978,-0.1642267,0.1173116,-0.2535546,0.8061161,0.3720249,0.2644343,-0.07561529,0.047383312,0.2562695,-0.321209,0.100002706,0.16874017,0.1501558,-0.175463,19
-0.3030505,-0.13461071,-0.0373058,-0.1682086,0.7161976,0.35238603,0.20189676,-0.023403183,-0.102114595,0.2713642,-0.20574787,-0.014414509,0.320849,0.19770074,-0.071538575,20
-0.15708965,-0.20673569,-0.07994153,-0.26104483,0.47316977,0.6430968,0.25883606,0.4386831,-0.044230103,0.51495093,-0.4485906,0.07915974,0.07536409,-0.06944368,-0.21618444,21
-0.19178031,-0.1986345,-0.021271117,-0.21205437,0.57477814,0.72575974,0.22499985,0.27646154,-0.066411056,0.5000489,-0.36111128,0.06424769,-0.052747287,-0.034529157,-0.22775677,22
0.09562473,-0.12693885,-0.06304277,-0.18710074,0.4348427,0.93910563,0.2302048,0.37640285,-0.11229803,0.28679118,-0.7293394,0.1735917,-0.079218276,0.17618583,-0.41481137,23
0.075852334,-0.17666109,-0.11132978,-0.19595115,0.44522977,0.8774734,0.21369693,0.3395985,0.08765028,0.19731903,-0.53861755,0.22605728,-0.08795765,0.14672212,-0.4990824,24
0.02344361,-0.17983706,-0.18064295,-0.1838271,0.42086497,0.99094194,0.2096871,0.38349515,0.015272218,0.22713734,-0.48444176,0.16585541,-0.06781776,0.1380088,-0.4781399,25
-0.011749788,-0.18401392,-0.23668997,-0.15514001,0.37121454,0.9935543,0.17447472,0.40920788,0.060260314,0.17574868,-0.30551,0.12191415,-0.045416366,0.14122762,-0.5090821,26
-0.003195395,-0.17510289,-0.2385733,-0.124678195,0.35188052,0.9441361,0.13463992,0.37221128,-0.011855517,0.24013542,-0.35785726,0.17611885,0.0010579186,0.23083507,-0.53975254,27
0.010577991,-0.14262299,-0.23808108,-0.10845883,0.37401026,0.95181024,0.20231238,0.25141114,-0.037293874,0.27756602,-0.40270537,0.16512968,-0.026041443,0.2823757,-0.5599898,28
0.005406709,-0.1543551,-0.13111137,-0.0517366,0.27901283,0.9234607,0.23974925,0.34913474,-0.09316868,0.20586109,-0.34066167,0.046950854,-0.098122954,0.3417873,-0.5222071,29
-0.018562604,-0.14787297,-0.19961865,-0.07031623,0.29044512,0.93036485,0.16416423,0.4000305,-0.08426683,0.18051735,-0.26048946,0.023042366,-0.005447271,0.25760114,-0.4595915,30
0.062014367,-0.13315412,-0.19787894,-0.07582656,0.2668745,0.8791236,0.21601391,0.27650765,-0.10534297,0.22963339,-0.20536478,0.05795601,-0.080341384,0.2906518,-0.48086646,31
-0.0046588383,-0.10083571,-0.19795914,-0.08951039,0.28571483,0.7379346,0.2660995,0.30880243,-0.11302222,0.29886788,-0.17527498,0.010991217,-0.09504426,0.23003066,-0.36213556,32
0.06334201,0.010266831,-0.17253575,-0.17866063,0.37580678,0.9193451,0.33555892,0.10021338,0.058846623,0.05809052,-0.18073565,0.0003727273,-0.092737615,0.14555502,-0.44272822,33
0.093352236,-0.0247119,-0.1931983,-0.1842499,0.22181778,0.8946457,0.29030854,0.18328492,0.061165776,0.2700707,-0.18130134,0.013010777,-0.044070117,0.108376704,-0.5085016,34
-0.03126637,-0.003875768,-0.11160421,-0.12702882,0.42228913,0.7973705,0.24591444,0.084558316,0.034862466,0.067345746,-0.18636802,-0.02362679,-0.02318928,0.2011718,-0.34655315,35
0.11040411,-0.07515638,-0.21734375,-0.23577622,0.29771248,0.7851078,0.17790435,0.45894897,0.036725227,0.23519316,-0.07523782,-0.084317304,0.07985649,0.05470037,-0.5487215,36
0.11991188,-0.023247356,-0.1565621,-0.24518652,0.33248475,0.63434285,0.2970581,0.37857753,0.033110276,0.21587873,-0.18133464,-0.09299797,-0.009361536,0.07721491,-0.3798889,37
0.106945254,-0.014195904,-0.07233121,-0.1671786,0.3329911,0.521229,0.23236395,0.1555729,0.045690138,0.42114395,-0.1630315,-0.0060360427,-0.056348138,0.023645183,-0.3604601,38
0.22757249,-0.016135301,-0.12966292,-0.19376273,0.27015966,0.5794957,0.21758132,0.19678394,0.06401947,0.3497067,-0.17682636,-0.011755841,-0.015439201,0.021744223,-0.3834812,39
0.17219059,-0.010109827,-0.076570064,-0.091297016,0.27686217,0.61974186,0.15484457,0.14346537,0.04008223,0.28663,-0.26711094,-0.10615376,0.046722464,0.16929506,-0.35859266,40
0.12862691,0.032515988,-0.05136967,-0.13930105,0.2669822,0.5129331,0.1484648,0.22558388,-0.010000109,0.30001965,-0.19087209,-0.074403934,0.07280721,0.104079925,-0.32606682,41
0.32211256,0.013743691,0.014356693,-0.13435833,0.22245115,0.46655616,0.14454888,0.10461587,0.03873125,0.21315244,-0.1928821,-0.11422515,0.063408434,0.15232453,-0.31453606,42
0.2369838,0.030621763,-0.016964413,-0.09299362,0.255455,0.45967755,0.0977926,0.05343518,0.060774125,0.2601393,-0.13592048,-0.112120494,0.08377377,0.180011,-0.36066508,43
0.18728417,0.022160493,-0.047121644,-0.17350864,0.2678434,0.50856084,0.049382523,0.14420497,0.14407432,0.23812643,-0.23257369,-0.04272307,0.2124564,0.11385783,-0.39202437,44
0.17388211,0.033467688,-0.12924613,0.09359604,0.21642654,0.50818354,-0.12703785,0.09202613,0.13716295,0.22950454,-0.17907505,-0.14581922,0.1564692,0.38753694,-0.44707742,45
-0.049941685,0.043045457,-0.34376934,-0.17898522,0.36475632,0.77567697,0.03517235,0.14442852,0.036626205,0.05514537,-0.035311084,-0.2796835,0.2982751,0.5041019,-0.36953732,46
0.009863585,0.025352469,-0.3380113,-0.14797014,0.40672758,0.74682146,-0.08534633,0.2176105,-0.036950618,0.06633719,-0.06087355,-0.14088038,0.20528533,0.46408713,-0.3320529,47
0.12220967,-0.010061755,-0.3528306,-0.22147627,0.28408447,0.7652212,0.014452571,0.2726001,-0.030373568,0.11872907,-0.023460075,-0.23001544,0.121798255,0.38589704,-0.21677467,48
-0.054416604,0.0078315595,-0.41437092,-0.3710769,0.40527236,0.49330476,0.032892015,0.35358775,-0.09744234,0.29883465,-0.0060126726,-0.039475225,0.2542262,0.4563088,-0.31946343,49
-0.07079248,0.034415286,-0.38403532,-0.32306588,0.39208898,0.4297422,0.08449444,0.271755,-0.11815966,0.31777924,-0.058599945,-0.062709175,0.16991833,0.5724874,-0.25531846,50
-0.08674073,-0.07554024,-0.22405992,-0.3595425,0.43312448,0.48290125,-0.02233012,0.41359752,-0.025813947,0.19793335,-0.0938092,0.006117952,0.17192654,0.494337,-0.31210145,51
0.036885116,-0.034769263,-0.1949958,-0.40757406,0.4757667,0.6310399,0.008406473,0.4338319,-0.069601946,0.24635081,-0.1644866,-0.04112131,0.16338404,0.39810175,-0.48121768,52
0.0934327,-0.039827935,-0.14653704,-0.36863315,0.4003144,0.60444325,0.043712135,0.4055925,-0.09108196,0.17785342,-0.15874763,-0.0094630625,0.07431824,0.42550465,-0.4108805,53
-0.067192905,-0.054492794,0.07208226,-0.34426886,0.52710366,0.586275,0.058098063,0.27734795,-0.17234626,0.16072111,-0.070418455,-0.04869371,0.11541463,0.3620031,-0.40163276,54
