Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.08032128,14,49.59227,0.1033808,49.695652,Yellow
0.05,0.12048193,8,19.00415,1.7605246,20.764675,Red
0.1,0.16064256,8,8.762054,1.3297242,10.091779,Red
