Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day
-0.025211258,-0.1080904,0.1228813,-0.008962849,0.20509459,0.04822731,-0.26839095,0.20197253,-0.21980833,0.083091736,0.031571448,0.12725827,0.32685533,0.094283864,-0.13869028,0.05202648,-0.05587758,0.41155228,-0.20761026,-0.018593716,0.26691502,0.12234596,-0.14873432,-0.009903044,0.016612425,-0.14380965,0.06727507,-0.20053498,0.376254,1
-0.032332513,-0.11404965,0.1440399,-0.009760783,0.21106444,0.030705452,-0.2337967,0.19448982,-0.18054304,0.1458334,-0.042886265,0.2973859,0.2631319,0.10301287,-0.1719298,0.032679558,-0.07365636,0.40735993,-0.22108613,-0.011407809,0.2407721,0.068620875,-0.16136898,-0.014222889,-0.00786461,-0.10901146,0.03437658,-0.19219318,0.40263748,2
-0.02765889,-0.13238251,0.085161835,-0.11741891,0.1789407,0.15852779,-0.14796856,0.37224546,-0.15656862,0.14414904,0.0023344322,0.18850087,0.14833619,0.20740123,-0.2343827,-0.028566143,-0.1392921,0.46219116,-0.30322754,0.028175442,0.20020229,0.0047119474,-0.12733167,0.0008314759,0.019206718,-0.07849986,0.10411626,-0.27044573,0.4587104,3
-0.02317094,-0.13306509,0.06485069,-0.09046468,0.18944062,0.19405107,-0.17624022,0.3200664,-0.107424095,0.119987406,0.07563312,0.18056402,0.17918229,0.17572127,-0.22928488,-0.016070291,-0.14022705,0.42170602,-0.27512226,0.050105117,0.21360692,-0.009888432,-0.12035959,-0.022439232,-0.009617624,-0.041664828,0.0785018,-0.27953154,0.41115403,4
0.017805498,-0.11611895,-0.018184038,-0.16155182,0.16816096,0.31051883,-0.08738282,0.35222337,-0.122650184,0.10023,0.047316235,0.14734901,0.12484265,0.10540236,-0.22422558,-0.008354964,-0.13707145,0.42457956,-0.28415135,-0.014019372,0.19640215,0.07533778,-0.10346988,-0.013895832,0.08811159,-0.051502954,0.0953161,-0.32169497,0.41067803,5
0.016134946,-0.124444686,-0.032080255,-0.12626235,0.1431779,0.29700556,-0.11538212,0.34239587,-0.100503325,0.09546659,0.12862176,0.12762341,0.12920403,0.1284571,-0.22616358,0.0026736443,-0.09174297,0.3946428,-0.26545608,0.000677989,0.2285608,0.08106628,-0.090945564,-0.075539224,0.07279309,-0.082786076,0.07015638,-0.3138716,0.38651964,6
0.0067108055,-0.122043975,0.026838053,-0.13037015,0.12469902,0.28730848,-0.09257062,0.35053575,-0.09471989,0.066327244,0.1303213,0.091838405,0.15252466,0.11633443,-0.19091319,0.05573981,-0.10979131,0.3533763,-0.27537182,0.06816789,0.22278312,0.03581381,-0.07177306,-0.07721684,0.07033496,-0.091900155,0.033384383,-0.28786317,0.35149577,7
0.047634877,-0.14215489,-0.054271992,-0.14099346,0.12378005,0.21527424,-0.117316075,0.39456683,-0.07211569,0.026205875,0.12843634,0.06543959,0.13172528,0.1757571,-0.18342292,0.01464655,-0.08266015,0.3393445,-0.22897796,0.058449626,0.19135953,0.07037399,-0.03726843,-0.12035523,0.026505927,-0.14288005,0.10486018,-0.14392556,0.35198194,8
0.038804498,-0.15865733,-0.09356968,-0.14512244,0.13830483,0.36171257,-0.14767148,0.40194803,-0.002008603,0.08661173,0.16668855,-0.007846756,0.14424546,0.23439449,-0.19282144,0.07897111,-0.13594988,0.25367755,-0.17683443,-0.0790379,0.19632873,0.026815044,-0.0204789,-0.1805036,0.11649322,-0.09115909,0.04363217,-0.08493335,0.22796692,9
0.04318013,-0.18306427,-0.091912046,-0.16103555,0.16120094,0.27810958,-0.11431059,0.3906841,-0.0019215456,0.0826396,0.19757672,0.012638742,0.063116856,0.13020578,-0.14599016,0.07455526,-0.14127158,0.2693007,-0.17430733,-0.006105796,0.2383332,0.08000156,0.007449785,-0.14402945,0.044644397,-0.10304392,0.051654436,-0.09751155,0.23921204,10
0.097695254,-0.1473807,-0.06951012,-0.1587615,0.13435712,0.34646747,-0.10839922,0.335463,0.019251725,0.06750977,0.21416213,-0.00052691344,0.06026018,0.14704476,-0.15908179,0.0826757,-0.13211241,0.24143541,-0.16980359,-0.0057735913,0.19627038,0.05324275,0.00665332,-0.118692204,0.035332512,-0.12900686,0.046717294,-0.0996085,0.2141186,11
0.06404981,-0.14612965,-0.06521063,-0.10415333,0.16017577,0.35448354,-0.085243404,0.23770915,-0.0075617996,0.045164198,0.16470571,0.0026645958,0.054869678,0.1624327,-0.1775607,0.073208034,-0.12258032,0.22179905,-0.12877138,0.055363283,0.23964472,0.11821986,0.0061959224,-0.11116134,0.024614679,-0.11721249,0.012999648,-0.12662454,0.19390924,12
0.009036235,-0.12394177,-0.002170921,-0.13408826,0.2695234,0.35983795,-0.069362685,0.23865192,-0.008877665,0.061241593,0.1649337,0.024401618,0.01993413,0.05774168,-0.10828521,0.0034293714,-0.036850337,0.06908296,-0.2042373,0.070298456,0.32948723,0.24029928,0.06472227,-0.22019048,-0.001624876,-0.10929533,0.0005832586,-0.0070992056,0.042818975,13
0.16238903,-0.18823797,-0.09512966,-0.29594553,0.18066183,0.07098997,0.045033693,0.36973208,-0.07745503,0.018107599,0.0045700055,0.010163599,0.089348525,0.17321132,0.096700996,0.26153073,0.016254136,-0.16346358,-0.11453905,0.09579726,0.14286968,0.3351099,-0.033574007,-0.09123982,0.049459368,-0.15954763,0.15667371,0.07093101,-0.13040215,14
0.0807049,-0.116293944,-0.023315612,-0.25942189,0.28785717,0.05564978,0.091921635,0.28447285,-0.103961565,-0.012458583,-0.0032058451,-0.017784873,-0.027336529,0.14189677,0.017428234,0.36537358,0.04005057,-0.19232605,-0.102278404,0.18686269,0.09132084,0.3269838,0.047154266,-0.0599891,0.016476005,-0.13570215,0.093947805,0.08368206,-0.15770845,15
0.038349308,-0.12530018,-0.04611572,-0.22166075,0.20879789,0.018505929,0.10422782,0.25245437,-0.10770229,-0.044227254,0.06721996,-0.023836715,0.076491416,0.16349973,0.046181206,0.3227319,0.03950602,-0.18430625,-0.022395125,0.07049995,0.0021537838,0.44117752,0.08004528,-0.16266039,0.010507597,-0.14278995,0.22594136,0.056447685,-0.14374413,16
0.035957355,-0.15931407,-0.030207979,-0.20914713,0.21606213,0.036972586,0.074369855,0.27872908,-0.13252354,-0.054738544,0.093347676,-0.023589693,0.13009852,0.16366573,0.06545234,0.38722855,0.03721356,-0.15284722,-0.051861502,0.06262437,-0.010324239,0.4161083,0.05193855,-0.15979052,-0.038004808,-0.1304937,0.1608825,0.047368154,-0.10517634,17
0.04081349,-0.10944697,-0.068296075,-0.098659694,0.22443609,-0.066327766,0.09522308,0.14672282,-0.12597376,-0.039909136,0.09654395,-0.017295038,0.04454184,0.083453834,0.11424161,0.39313588,0.066044815,-0.16756132,-0.015675012,0.002877421,0.02239276,0.44133374,0.033493653,-0.12517476,0.0667573,-0.19227348,0.1718306,0.1317038,-0.14895362,18
-0.034003664,-0.13386509,-0.018288197,-0.11103866,0.26723328,-0.10957885,0.08092765,0.17260142,-0.086444885,-0.08548068,0.1006321,0.0068771206,0.04447589,0.05181896,0.074284,0.38811657,0.07531739,-0.18771471,0.024967626,-0.006603827,0.04179482,0.48352313,0.072930954,-0.11518094,0.049168266,-0.1722377,0.18961968,0.09455679,-0.15840846,19
