Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.11646587,1,92.32977,16.820992,109.150764,Yellow
0.05,0.16867469,1,46.895233,11.455122,58.350357,Red
0.1,0.22891566,1,35.047638,2.1238487,37.171486,Red
