Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,NaN,0,NaN,NaN,NaN,Green
0.05,NaN,0,NaN,NaN,NaN,Green
0.1,NaN,0,NaN,NaN,NaN,Green
