Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day
-0.87624663,0.22122644,1.5466151,-0.08491114,0.19331619,1
-0.48980933,-0.1176411,1.1108701,0.7257845,-0.22920416,2
0.32566956,-0.1681882,0.7323976,0.6053616,-0.4952406,3
0.44277275,-0.17281525,0.49154884,0.3429516,-0.10445791,4
-0.36387676,0.30518478,0.40590945,0.05781646,0.59496605,5
0.6056495,-0.061957188,0.3689959,0.3919467,-0.3046349,6
-0.15656757,0.013799829,0.5566297,-0.1256169,0.7117549,7
0.10379188,0.07296368,0.37133756,-0.10053409,0.552441,8
0.8702508,0.04800839,0.5105431,-1.3402462,0.9114438,9
1.1738068,0.2590573,0.08355796,-0.6217561,0.10533402,10
0.28548506,0.01473177,0.12461483,-0.6207781,1.1959465,11
0.36652312,-0.06728147,0.07717027,0.336531,0.28705707,12
-0.5010802,-0.1910809,1.035231,-0.16777457,0.82470477,13
-1.2829478,-0.8712012,3.1317458,-1.0008956,1.0232986,14
-1.5643888,-0.22990054,1.4540366,-0.52044183,1.8606945,15
-1.3613597,-0.37217307,1.8569866,-0.5533595,1.4299057,16
-1.2108654,-0.14655192,1.4994844,-0.58033603,1.4382688,17
-0.72528607,-0.11057116,0.71892416,0.04412676,1.0728064,18
-0.8162874,-0.08886983,0.61526716,-0.118639775,1.4085299,19
-0.58466583,-0.10079973,0.7455245,-0.21501298,1.154954,20
-1.935663,-0.2790289,1.77937,-0.6325011,2.0678232,21
-1.2975881,-0.17111284,0.98339987,-0.053797156,1.5390981,22
0.2263891,0.40268543,-0.88206774,-0.22167675,1.4746699,23
-1.1371428,0.22126082,0.08850597,-0.07453039,1.9019064,24
-0.12783857,0.1529298,0.0549453,-0.27776062,1.1977241,25
-0.10022089,0.075648196,0.11177352,-0.28096008,1.1937592,26
0.2921355,-0.046484645,0.28326204,-0.64115936,1.1122464,27
0.13096626,0.42086807,0.10997568,-0.6819798,1.0201697,28
0.3150378,-0.06543038,0.17703989,-0.10022237,0.6735751,29
0.643897,-0.15567937,-0.015188263,-0.16123484,0.6882055,30
0.3723803,-0.12099624,0.31530857,-0.0028395155,0.4361469,31
0.02157353,0.2127092,0.19932501,-0.25792557,0.8243178,32
-0.15301515,0.29527968,0.11696701,-0.5870117,1.3277801,33
1.1879483,0.087667085,0.13855478,-0.7846669,0.3704967,34
0.3488126,0.1579089,0.057069562,-0.40556738,0.8417763,35
0.42397195,-0.14240645,0.875133,-0.59528786,0.43858942,36
0.058146257,-0.14127259,1.4134079,-0.74936897,0.41908738,37
-0.068481356,-0.05837456,0.763435,-0.38084033,0.7442612,38
0.6270995,-0.13045739,0.51581275,-0.3124689,0.300014,39
0.04176565,0.015322175,0.62150216,-0.30832523,0.62973523,40
0.026748655,-0.028563518,0.7184814,-0.28900102,0.5723344,41
0.8371657,-0.13629851,-0.046064798,0.39573476,-0.050537184,42
0.43502492,0.011473216,0.09489518,0.0827318,0.37587488,43
-0.5094328,-0.0705884,1.5162791,-0.7567906,0.82053274,44
-0.17139116,0.20637959,-0.7442427,0.32584402,1.3834102,45
-2.3243341,0.15065166,2.248693,-0.1373705,1.0623599,46
0.2604304,0.121424,-0.27393636,-0.19016658,1.0822486,47
0.59743613,0.15513274,-0.48920485,-0.16602659,0.9026626,48
0.020042283,0.0028912297,0.75018805,-0.9000589,1.1269373,49
-0.42214546,0.10544234,0.273134,0.15580238,0.8877667,50
-0.2841579,0.10173711,0.7169544,-0.23862088,0.70408726,51
-0.1051207,0.08828135,0.61111945,-0.51852655,0.92424643,52
0.29607624,0.20917106,0.35019192,-0.3535177,0.49807847,53
0.10889184,0.09117994,0.4756481,-0.39595565,0.72023576,54
-0.01053023,0.05119095,0.19856484,-0.8820996,1.6428741,55
-0.05627659,0.008354331,0.5666422,-0.2021518,0.68343186,56
0.056923017,0.00021950665,0.61763823,-0.36117494,0.6863942,57
0.078477755,-0.085372776,0.5351536,-0.3020647,0.7738061,58
-0.14072871,-0.04451912,0.5359114,-0.13721703,0.78655344,59
-0.03953155,-0.11581885,0.72881657,-0.3809083,0.8074422,60
-0.08457223,-0.10243135,0.59274554,-0.28510475,0.8793628,61
-0.3746451,-0.13818172,0.6668207,-0.18261778,1.0286239,62
0.13091956,-0.060269963,0.5083799,-0.2552241,0.6761946,63
-0.076917514,-0.02332214,0.594962,-0.052188855,0.5574665,64
0.004326848,0.057538576,1.0277878,-0.7780064,0.6883532,65
-0.4905234,0.13472398,1.1234461,-0.5539728,0.78632617,66
-0.21294007,0.24533774,0.64698654,-0.6137813,0.9343971,67
-0.20390292,0.37666342,0.57547045,-0.50298786,0.7547569,68
-0.16092947,0.27193266,0.5720978,-0.573466,0.890365,69
-0.3099233,0.13831513,1.0071324,-0.39477602,0.55925184,70
-0.048087414,0.0786315,0.6217596,-0.3186138,0.66631013,71
-0.08502097,0.09082508,0.63152367,-0.36947903,0.73215127,72
-0.13561131,0.19123149,0.59333444,-0.3555655,0.70661086,73
-0.14451253,0.07350733,1.1928192,-0.6236917,0.5018776,74
0.35635552,0.09158068,0.23535985,-0.3938646,0.71056855,75
0.3569355,0.029113302,0.15264106,-0.27415127,0.7354614,76
-0.014652813,-0.14240949,0.54289776,0.2521439,0.36202064,77
0.0997938,-0.24224257,0.59851813,-0.06643039,0.610361,78
0.2407822,-0.5030234,0.8426542,-0.7136677,1.1332546,79
0.6304534,-0.44563264,0.9282214,-1.0444427,0.9314005,80
0.4805962,-0.35148862,0.822769,-0.884306,0.93242943,81
1.4710616,-0.23176007,0.54602945,-1.2843155,0.49898446,82
0.2947032,-0.28883356,1.0098186,-0.6495503,0.6338622,83
0.17026639,-0.17949715,1.0682284,-0.040073704,-0.018923897,84
0.22082585,-0.2445171,1.0807058,-0.264016,0.20700148,85
0.2252186,0.04081544,0.6781918,-0.20134307,0.25711724,86
0.18465586,-0.075886406,0.73585194,-0.2537369,0.40911552,87
0.095795326,-0.34375003,1.1136926,-0.23335886,0.36762097,88
-0.06713287,-0.32022712,1.3806447,-0.27032155,0.27703688,89
0.28652632,-0.055215098,0.5401944,-0.07054866,0.29904306,90
0.42915866,0.16329399,0.7585315,-0.65112853,0.30014434,91
0.41978565,0.16423064,0.6257087,-0.4265112,0.2167862,92
0.63509095,-0.46909127,-0.7110816,-0.2315055,1.7765874,93
-0.15542649,-0.41631636,1.1644412,0.20661786,0.20068373,94
-1.5298525,-0.1476605,0.23197632,0.071493745,2.374043,95
1.2063004,-0.32838604,-0.4767015,-1.7859197,2.384707,96
-1.4497778,-0.20049313,0.8732168,0.43986192,1.3371923,97
-1.1535448,-0.04042124,0.47601178,-0.032335315,1.7502896,98
-1.4645953,-0.23306686,1.1607115,-0.011368068,1.5483187,99
-1.4742917,0.17569505,-0.21208368,0.33781478,2.1728654,100
-0.06799195,0.24462755,-0.0069349576,-0.9586161,1.7889155,101
0.23847242,0.045249224,0.58528316,-0.8920094,1.0230045,102
0.83393866,-0.34334213,0.9149437,-0.91800547,0.51246524,103
0.8767814,-0.26331642,0.7888195,-0.7712125,0.36892805,104
0.3726009,-0.094092816,0.8001618,-0.6988258,0.6201559,105
0.56580305,-0.17680912,0.81354254,-0.6527835,0.450247,106
0.74714816,-0.29083943,0.62192035,-0.5146923,0.43646324,107
0.6708091,-0.18827866,0.7001265,-1.1720331,0.989376,108
0.37609768,-0.21833086,0.9143891,-0.6352151,0.5630592,109
0.38787028,-0.4217357,1.3208704,-0.64676285,0.3597579,110
0.5298483,-0.49157673,1.2567735,-0.30175474,0.006709642,111
2.277289,0.009204295,-0.6440936,-0.8003656,0.1579659,112
1.5005168,-0.07772251,-1.8582053,0.7844319,0.6509792,113
-3.7224884,1.0332125,1.1259576,0.890001,1.6733172,114
0.15608683,-0.53616476,-1.0676293,1.038697,1.4090103,115
-1.7346948,-0.15248351,-0.5834787,1.8036147,1.6670423,116
-0.77161586,-0.3167882,-0.29855326,0.49049953,1.8964578,117
-0.60574156,-0.050988458,1.0925224,-0.45096153,1.0151693,118
-0.25280574,-0.15466225,0.18946886,-0.20541967,1.4234188,119
-0.3435102,0.05379509,0.44585308,-0.35349596,1.197358,120
-0.83884233,-0.1683764,1.4547892,-1.4822567,2.0346863,121
-1.2850249,-0.1372935,1.3288014,-1.203505,2.2970219,122
-1.0603697,0.13086338,0.014665764,-0.3751915,2.2900321,123
-1.1719422,-0.013644876,0.72187984,-0.55743057,2.021138,124
-1.2337955,-0.0016089414,0.18957105,0.30313835,1.7426951,125
0.6916196,-0.23687975,-0.6799233,5.349595,-4.1244116,126
-2.1781933,0.17183,0.6283184,4.271984,-1.8939394,127
-0.43154967,0.46984604,-1.0971421,0.08757345,1.9712722,128
-1.0866337,0.37947875,-0.25613853,1.2879268,0.67536664,129
