Day,Actual_Return,VaR_1_percent,VaR_5_percent,VaR_10_percent
1,0.008623521967356147,0.021714405064411284,0.01526507606197951,0.011827328003414555
2,0.006810421606519273,0.014747136519080412,0.0104170765739019,0.008108982946736263
3,0.005857736143765584,0.01692625017934795,0.011851428489932458,0.009146347325089838
4,-0.0006995732602890891,0.016567279290755972,0.011603170682946008,0.008957103980104577
5,0.01570896959151664,0.013322523049407745,0.009301411276513842,0.007157999274222379
6,0.004927238397998556,0.013285385589366676,0.009134348269672356,0.006921680799703139
7,-0.0077510148434017725,0.012832552840401135,0.008851763695809648,0.006729845253097887
8,-0.0028636397697535303,0.012195065909541654,0.008538480075801538,0.006589374851649317
9,-0.0035649977520882375,0.009443329773536058,0.006558943670296823,0.005021451518349917
10,0.0016046819586386222,0.012753882896595119,0.008922028013346784,0.006879497436813531
11,-0.019505220689170735,0.011640353078524035,0.008088700299874697,0.006195528554427251
12,-0.0066270692324347045,0.009312697745260274,0.006501472974486813,0.005002978713413735
13,-0.010859001558264067,0.008794765784863478,0.006139360945096942,0.004723924885133282
14,-0.004811844585212915,0.011016579809932526,0.007706919808309766,0.0059427398074447715
15,0.0070010031201195675,0.01128882756767586,0.007891182554493358,0.0060801030540744904
16,-0.004912203554176897,0.012623637858326507,0.008913533337802117,0.00693590053170762
17,-0.012779867756060805,0.01320830439707999,0.009324186074317993,0.007253797012405213
18,-0.0008240432280552279,0.013051769279875685,0.009242755076820812,0.007212399488408305
19,0.0014321341832932385,0.014725283213494018,0.010316585035974107,0.007966574113155125
20,-0.0006234277506678792,0.014559941905616762,0.01029455341501398,0.008020932237203685
21,0.010011258330091366,0.013033222105844795,0.009124758799620821,0.007041392896303195
22,0.006760919796827495,0.015097601425264333,0.010609999047617062,0.008217929057769838
23,0.012910225155387641,0.018215356806252664,0.012820069085179969,0.009944166819762366
24,0.0021895270049825007,0.019624754069604594,0.013631666748546533,0.010437113595031002
25,-0.00041528743039441116,0.019216957755359556,0.013364866568532018,0.010245469944716458
26,-0.0004686175236130679,0.01704244125173996,0.011838464347391971,0.009064538332298989
27,0.00950663212497197,0.016207984343661525,0.011261663619021398,0.00862507856315596
28,0.003928307785393647,0.018327934751702604,0.012740101029976273,0.009761564112227878
29,-0.0013525489587441217,0.015359947972314084,0.010722700195628394,0.008250863275016198
30,-0.0019089698668433121,0.013622423944997342,0.009462683641846326,0.007245377136642479
31,-0.0038376375956267264,0.013315715443070105,0.009258363762002035,0.007095634451829187
32,0.008866153881126075,0.01174026339766657,0.008120418642383831,0.006190897869744132
33,-0.0033472702194536404,0.011653494096094697,0.008062681209241845,0.006148635573518519
34,-0.006933262985416443,0.012765446178640224,0.008820829174093898,0.006718191916163916
35,0.008984420896931423,0.008656516181070741,0.005971513927646369,0.004540301272737342
36,0.01392389920924099,0.011276982499782406,0.0077567909908472146,0.005880389349520527
37,0.009973870018160795,0.010621105624698039,0.0072515399342387874,0.005455427826108527
38,0.0012918878466169222,0.009044994627378608,0.0062198469973737125,0.004713931300322645
39,0.007617434297403068,0.010871708000135873,0.007514651746964491,0.005725207664877541
40,0.0008393179751053767,0.012131409764288541,0.008464019900404388,0.0065091556998317784
41,-0.004695222098731003,0.010018754128146295,0.006915799026396015,0.005261800932511505
42,-0.006381013575277539,0.00980688898118433,0.00683078379702949,0.005244401738515237
43,-0.001564213882508629,0.012097306526894405,0.008465715006701652,0.006529932742634149
44,-0.005389856735606203,0.01302326498268933,0.009020106961502199,0.006886265020693201
45,0.007003470625570969,0.013208338692340796,0.009223209161069773,0.007098977120172005
46,-0.004341710390447989,0.015564767903051186,0.010952366997925976,0.00849377444497377
47,-0.00414162745983775,0.013864483757320863,0.009683031777609985,0.007454152087984365
48,0.0033048671028069253,0.008909599883398867,0.006168934992860548,0.0047080519454810905
49,0.009055519832403667,0.01214149631192918,0.008423189484897672,0.006441184524233298
50,-0.0024702423570046234,0.013776938202735081,0.00954936864632048,0.007295906459861596
51,-0.0006587645567922508,0.01241203757574043,0.008621161920311465,0.006600474896933029
52,-0.004645271106333594,0.014092873610835542,0.009832266421796102,0.007561193867286093
53,0.006558277992194807,0.011773942402566497,0.008213957700076276,0.006316344708881048
