Confidence_Level,PF,TUFF,LRUC,LRIND,LRCC,Basel_Zone
0.01,0.07630522,11,45.333252,1.541755,46.875008,Yellow
0.05,0.12851405,11,22.979156,4.0483737,27.02753,Red
0.1,0.18072289,7,14.920822,2.4863813,17.407204,Red
